id_colaborador,comentarios_soft_skills,avaliacao_pessoal_texto,data
78,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-10-22
79,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-08-11
80,Precisa melhorar proatividade,Desempenho consistente,2025-05-23
81,Excelente liderança,Precisa de desenvolvimento,2025-05-31
82,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-08-23
83,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-05-09
84,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-04-26
85,Bom relacionamento interpessoal,Desempenho consistente,2026-03-15
86,Excelente liderança,Em evolução,2026-03-23
87,Precisa melhorar proatividade,Alta performance,2025-06-10
88,Excelente liderança,Precisa de desenvolvimento,2025-06-24
89,Excelente liderança,Precisa de desenvolvimento,2025-08-10
90,Bom relacionamento interpessoal,Desempenho consistente,2025-05-01
91,Boa comunicação e trabalho em equipe,Em evolução,2025-09-17
92,Bom relacionamento interpessoal,Em evolução,2025-09-26
93,Excelente liderança,Precisa de desenvolvimento,2025-10-03
94,Bom relacionamento interpessoal,Desempenho consistente,2025-11-16
95,Bom relacionamento interpessoal,Alta performance,2025-05-20
96,Excelente liderança,Alta performance,2026-02-06
97,Bom relacionamento interpessoal,Desempenho consistente,2026-03-10
98,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-09-16
99,Boa comunicação e trabalho em equipe,Alta performance,2026-02-18
100,Boa comunicação e trabalho em equipe,Alta performance,2025-05-17
101,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-10-26
102,Bom relacionamento interpessoal,Desempenho consistente,2025-11-29
103,Excelente liderança,Alta performance,2026-03-03
104,Precisa melhorar proatividade,Em evolução,2025-05-24
105,Bom relacionamento interpessoal,Em evolução,2026-03-01
106,Excelente liderança,Alta performance,2026-02-26
107,Excelente liderança,Em evolução,2025-09-18
108,Boa comunicação e trabalho em equipe,Alta performance,2026-04-11
109,Precisa melhorar proatividade,Alta performance,2025-05-01
110,Excelente liderança,Alta performance,2025-10-28
111,Boa comunicação e trabalho em equipe,Em evolução,2026-02-11
112,Bom relacionamento interpessoal,Desempenho consistente,2026-02-12
113,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-07-28
114,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-09-23
115,Bom relacionamento interpessoal,Alta performance,2026-02-04
116,Excelente liderança,Alta performance,2025-11-10
117,Boa comunicação e trabalho em equipe,Desempenho consistente,2026-02-05
118,Precisa melhorar proatividade,Desempenho consistente,2025-05-15
119,Boa comunicação e trabalho em equipe,Alta performance,2025-09-11
120,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-06-19
121,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-12-07
122,Precisa melhorar proatividade,Desempenho consistente,2025-10-31
123,Bom relacionamento interpessoal,Desempenho consistente,2025-12-01
124,Bom relacionamento interpessoal,Alta performance,2026-04-02
125,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-06-23
126,Boa comunicação e trabalho em equipe,Desempenho consistente,2026-01-11
127,Excelente liderança,Em evolução,2026-02-14
128,Excelente liderança,Alta performance,2025-11-09
129,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-08-14
130,Bom relacionamento interpessoal,Em evolução,2026-02-18
131,Bom relacionamento interpessoal,Em evolução,2025-08-12
132,Excelente liderança,Desempenho consistente,2025-10-04
133,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2026-04-16
134,Bom relacionamento interpessoal,Desempenho consistente,2025-11-16
135,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-04-27
136,Bom relacionamento interpessoal,Alta performance,2026-02-26
137,Bom relacionamento interpessoal,Desempenho consistente,2025-11-10
138,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-05-07
139,Excelente liderança,Desempenho consistente,2025-09-14
140,Boa comunicação e trabalho em equipe,Em evolução,2025-09-14
141,Bom relacionamento interpessoal,Desempenho consistente,2025-10-05
142,Excelente liderança,Alta performance,2026-01-02
143,Excelente liderança,Em evolução,2026-03-17
144,Boa comunicação e trabalho em equipe,Em evolução,2025-10-29
145,Excelente liderança,Em evolução,2025-12-26
146,Boa comunicação e trabalho em equipe,Em evolução,2025-12-15
147,Precisa melhorar proatividade,Em evolução,2025-06-21
148,Precisa melhorar proatividade,Desempenho consistente,2026-01-25
149,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-07-11
150,Bom relacionamento interpessoal,Alta performance,2025-06-08
151,Excelente liderança,Em evolução,2025-09-12
152,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-09-11
153,Excelente liderança,Alta performance,2025-06-27
154,Boa comunicação e trabalho em equipe,Alta performance,2025-08-09
155,Boa comunicação e trabalho em equipe,Alta performance,2025-09-01
156,Bom relacionamento interpessoal,Desempenho consistente,2026-03-27
157,Excelente liderança,Alta performance,2026-03-17
158,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-09-01
159,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-07-07
160,Precisa melhorar proatividade,Alta performance,2025-06-20
161,Bom relacionamento interpessoal,Em evolução,2026-03-25
162,Bom relacionamento interpessoal,Desempenho consistente,2025-11-01
163,Boa comunicação e trabalho em equipe,Em evolução,2026-04-05
164,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-09-13
165,Precisa melhorar proatividade,Alta performance,2025-10-17
166,Excelente liderança,Precisa de desenvolvimento,2025-09-28
167,Excelente liderança,Desempenho consistente,2025-06-06
168,Excelente liderança,Desempenho consistente,2025-11-08
169,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-12-01
170,Excelente liderança,Em evolução,2025-11-06
171,Boa comunicação e trabalho em equipe,Em evolução,2025-10-28
172,Excelente liderança,Precisa de desenvolvimento,2026-02-18
173,Boa comunicação e trabalho em equipe,Alta performance,2025-07-13
174,Bom relacionamento interpessoal,Alta performance,2026-02-19
175,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-08-08
176,Excelente liderança,Desempenho consistente,2025-10-22
177,Excelente liderança,Em evolução,2026-01-06
178,Excelente liderança,Precisa de desenvolvimento,2026-01-17
179,Precisa melhorar proatividade,Em evolução,2026-02-05
180,Boa comunicação e trabalho em equipe,Alta performance,2026-03-05
181,Boa comunicação e trabalho em equipe,Alta performance,2025-06-13
182,Precisa melhorar proatividade,Precisa de desenvolvimento,2026-02-06
183,Precisa melhorar proatividade,Em evolução,2025-05-06
184,Precisa melhorar proatividade,Precisa de desenvolvimento,2026-04-03
185,Bom relacionamento interpessoal,Alta performance,2025-05-14
186,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-06-17
187,Excelente liderança,Precisa de desenvolvimento,2025-12-27
188,Precisa melhorar proatividade,Alta performance,2025-08-28
189,Precisa melhorar proatividade,Alta performance,2025-05-13
190,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-12-02
191,Bom relacionamento interpessoal,Precisa de desenvolvimento,2026-02-02
192,Precisa melhorar proatividade,Em evolução,2025-12-18
193,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-10-17
194,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-12-01
195,Boa comunicação e trabalho em equipe,Em evolução,2025-12-07
196,Bom relacionamento interpessoal,Em evolução,2025-09-14
197,Boa comunicação e trabalho em equipe,Em evolução,2025-09-07
198,Excelente liderança,Desempenho consistente,2025-09-25
199,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-08-11
200,Excelente liderança,Em evolução,2025-10-10
201,Boa comunicação e trabalho em equipe,Alta performance,2026-01-01
202,Boa comunicação e trabalho em equipe,Alta performance,2026-03-06
203,Excelente liderança,Em evolução,2026-02-14
204,Boa comunicação e trabalho em equipe,Alta performance,2025-08-27
205,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-09-08
206,Boa comunicação e trabalho em equipe,Desempenho consistente,2026-04-16
207,Excelente liderança,Em evolução,2026-02-08
208,Bom relacionamento interpessoal,Desempenho consistente,2025-11-29
209,Precisa melhorar proatividade,Alta performance,2026-02-22
210,Boa comunicação e trabalho em equipe,Em evolução,2025-09-23
211,Bom relacionamento interpessoal,Desempenho consistente,2026-02-28
212,Bom relacionamento interpessoal,Desempenho consistente,2025-06-06
213,Precisa melhorar proatividade,Em evolução,2025-11-27
214,Bom relacionamento interpessoal,Desempenho consistente,2025-06-15
215,Excelente liderança,Em evolução,2025-07-07
216,Bom relacionamento interpessoal,Em evolução,2025-05-20
217,Boa comunicação e trabalho em equipe,Alta performance,2026-03-22
218,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-08-28
219,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-10-16
220,Excelente liderança,Desempenho consistente,2025-10-25
221,Boa comunicação e trabalho em equipe,Alta performance,2025-12-23
222,Boa comunicação e trabalho em equipe,Alta performance,2026-02-16
223,Boa comunicação e trabalho em equipe,Alta performance,2025-07-20
224,Excelente liderança,Em evolução,2025-05-10
225,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-06-06
226,Precisa melhorar proatividade,Em evolução,2026-03-24
227,Bom relacionamento interpessoal,Desempenho consistente,2025-11-26
228,Precisa melhorar proatividade,Desempenho consistente,2026-01-13
229,Boa comunicação e trabalho em equipe,Alta performance,2025-11-18
230,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-12-17
231,Boa comunicação e trabalho em equipe,Em evolução,2025-11-30
232,Excelente liderança,Desempenho consistente,2025-05-25
233,Excelente liderança,Alta performance,2026-02-21
234,Excelente liderança,Precisa de desenvolvimento,2025-10-03
235,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-11-03
236,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-05-06
237,Bom relacionamento interpessoal,Alta performance,2025-08-03
238,Excelente liderança,Desempenho consistente,2025-09-20
239,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-06-21
240,Precisa melhorar proatividade,Alta performance,2025-11-12
241,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-11-09
242,Excelente liderança,Alta performance,2025-09-09
243,Bom relacionamento interpessoal,Em evolução,2025-05-07
244,Bom relacionamento interpessoal,Alta performance,2025-09-09
245,Boa comunicação e trabalho em equipe,Alta performance,2025-06-15
246,Bom relacionamento interpessoal,Alta performance,2025-06-02
247,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-05-17
248,Bom relacionamento interpessoal,Alta performance,2025-08-06
249,Precisa melhorar proatividade,Desempenho consistente,2026-02-11
250,Bom relacionamento interpessoal,Desempenho consistente,2026-02-20
251,Boa comunicação e trabalho em equipe,Em evolução,2025-05-30
252,Excelente liderança,Alta performance,2025-10-11
253,Boa comunicação e trabalho em equipe,Em evolução,2025-05-13
254,Bom relacionamento interpessoal,Alta performance,2025-10-17
255,Bom relacionamento interpessoal,Desempenho consistente,2025-07-06
256,Precisa melhorar proatividade,Alta performance,2025-10-04
257,Excelente liderança,Alta performance,2025-12-19
258,Boa comunicação e trabalho em equipe,Desempenho consistente,2026-01-20
259,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-07-12
260,Boa comunicação e trabalho em equipe,Alta performance,2025-12-13
261,Bom relacionamento interpessoal,Em evolução,2025-06-16
262,Excelente liderança,Precisa de desenvolvimento,2026-01-13
263,Boa comunicação e trabalho em equipe,Em evolução,2026-03-19
264,Bom relacionamento interpessoal,Em evolução,2025-04-25
265,Bom relacionamento interpessoal,Desempenho consistente,2025-05-11
266,Excelente liderança,Alta performance,2025-04-27
267,Boa comunicação e trabalho em equipe,Alta performance,2025-11-23
268,Precisa melhorar proatividade,Em evolução,2025-10-22
269,Precisa melhorar proatividade,Desempenho consistente,2026-01-13
270,Precisa melhorar proatividade,Em evolução,2025-08-16
271,Boa comunicação e trabalho em equipe,Alta performance,2025-07-16
272,Excelente liderança,Precisa de desenvolvimento,2025-07-17
273,Precisa melhorar proatividade,Desempenho consistente,2026-03-23
274,Excelente liderança,Precisa de desenvolvimento,2025-08-23
275,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-07-05
276,Boa comunicação e trabalho em equipe,Em evolução,2025-11-14
277,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-08-30
278,Excelente liderança,Em evolução,2025-07-17
279,Precisa melhorar proatividade,Em evolução,2025-09-16
280,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-08-03
281,Precisa melhorar proatividade,Alta performance,2026-01-31
282,Precisa melhorar proatividade,Alta performance,2025-04-27
283,Precisa melhorar proatividade,Alta performance,2025-08-03
284,Excelente liderança,Desempenho consistente,2025-12-18
285,Precisa melhorar proatividade,Alta performance,2026-02-20
286,Excelente liderança,Desempenho consistente,2025-08-11
287,Precisa melhorar proatividade,Em evolução,2026-01-28
288,Excelente liderança,Desempenho consistente,2026-04-11
289,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-06-01
290,Excelente liderança,Em evolução,2025-07-07
291,Bom relacionamento interpessoal,Desempenho consistente,2025-08-14
292,Excelente liderança,Alta performance,2025-08-21
293,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-11-24
294,Bom relacionamento interpessoal,Desempenho consistente,2025-05-08
295,Boa comunicação e trabalho em equipe,Em evolução,2025-09-12
296,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-08-31
297,Precisa melhorar proatividade,Alta performance,2025-06-19
298,Precisa melhorar proatividade,Alta performance,2025-11-13
299,Excelente liderança,Precisa de desenvolvimento,2026-02-18
300,Excelente liderança,Desempenho consistente,2025-11-13
301,Precisa melhorar proatividade,Precisa de desenvolvimento,2026-02-22
302,Excelente liderança,Precisa de desenvolvimento,2025-12-20
303,Precisa melhorar proatividade,Desempenho consistente,2026-03-31
304,Excelente liderança,Precisa de desenvolvimento,2025-06-14
305,Bom relacionamento interpessoal,Em evolução,2026-02-03
306,Excelente liderança,Alta performance,2026-01-18
307,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-08-05
308,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-11-19
309,Bom relacionamento interpessoal,Desempenho consistente,2026-03-10
310,Bom relacionamento interpessoal,Precisa de desenvolvimento,2025-12-23
